"","Date","rlc_end_time","specimenID","uid","plantID","treatment","temp","rlc_order","rlc_day","run","deltaNPQ","NPQ_Ypoint1","pmax","rETRmax","rETRmaxYpoint1","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"113","2023-11-20","9:29:38","Ac35","2023-11-20_Ac35",18,0,28,9,5,1,0.49,"0.722",57.31,55.58,55.58,0.669,0.031,21.276,0,85.7,7.4,11.6,0
"114","2023-11-20","9:35:15","Ac33","2023-11-20_Ac33",17,0,28,9,5,1,0.549,"0.745",53.72,53.34,53.34,0.601,0.027,21.887,0,89.3,7.6,11.7,0
"115","2023-11-20","9:41:09","Ac39","2023-11-20_Ac39",20,0,28,10,5,1,0.543,"0.841",55.7,53.01,53.01,0.656,0.04,16.498,0,84.9,9.4,9,0
"116","2023-11-20","9:47:16","Ac37","2023-11-20_Ac37",19,0,28,10,5,1,0.676,"0.969",50.22,48.45,48.45,0.699,0.079,8.895,0,71.8,13.8,5.2,0
"117","2023-11-20","9:53:23","Ac36","2023-11-20_Ac36",18,1,28,11,5,1,0.377,"0.488",60.17,57.12,57.12,0.529,0.023,23.002,0,113.6,10.2,11.1,0
"118","2023-11-20","9:59:01","Ac34","2023-11-20_Ac34",17,1,28,11,5,1,0.351,"0.423",64.32,62.16,62.16,0.545,0.015,37.314,0,117.9,6.6,17.8,0
"119","2023-11-20","10:04:15","Ac40","2023-11-20_Ac40",20,1,28,12,5,1,0.332,"0.375",67.4,65.1,65.1,0.53,0.011,47.478,0,127.1,5.8,22,0
"120","2023-11-20","10:09:40","Ac38","2023-11-20_Ac38",19,1,28,12,5,1,0.447,"0.735",46.44,46.74,46.74,0.527,0.032,16.43,0,88.1,10,8.8,0
"121","2023-11-20","10:15:26","Ac43","2023-11-20_Ac43",22,0,24,13,5,1,0.64,"0.897",68.85,63.84,63.84,0.608,0.036,17.035,0,113.2,13.7,8.3,0
"122","2023-11-20","10:22:13","Ac41","2023-11-20_Ac41",21,0,24,13,5,1,0.534,"0.682",58.47,56.15,56.15,0.51,0.038,13.458,0,114.7,17.7,6.5,0
"123","2023-11-20","10:27:36","Ac47","2023-11-20_Ac47",24,0,24,14,5,1,0.561,"0.782",69.94,65.94,65.94,0.619,0.034,18.309,0,112.9,12.7,8.9,0
"124","2023-11-20","10:32:15","Ac45","2023-11-20_Ac45",23,0,24,14,5,1,0.639,"0.923",61.55,59.28,59.28,0.717,0.066,10.857,0,85.8,14.6,5.9,0
"125","2023-11-20","10:38:22","Ac44","2023-11-20_Ac44",22,1,24,15,5,1,0.502,"0.693",57.55,55.86,55.86,0.579,0.033,17.691,0,99.3,11,9,0
"126","2023-11-20","10:43:04","Ac42","2023-11-20_Ac42",21,1,24,15,5,1,0.413,"0.481",56.49,54.6,54.6,0.643,0.033,19.549,0,87.8,8.4,10.5,0
"127","2023-11-20","10:47:41","Ac48","2023-11-20_Ac48",24,1,24,16,5,1,0.478,"0.639",69.2,67.2,67.2,0.602,0.027,21.923,0,115,10.9,10.6,0
"128","2023-11-20","10:52:21","Ac46","2023-11-20_Ac46",23,1,24,16,5,1,0.493,"0.637",60.63,60.68,57.86,0.707,0.024,29.97,0,85.8,5.3,16.3,0
"129","2023-11-20","10:57:12","Ac03","2023-11-20_Ac03",2,0,28,17,5,1,0.494,"0.66",60.36,57.86,57.86,0.591,0.024,25.018,0,102.1,8.1,12.6,0
"130","2023-11-20","11:02:44","Ac01","2023-11-20_Ac01",1,0,28,17,5,1,0.458,"0.51",75.24,71.4,71.4,0.636,0.03,21.418,0,118.2,11.6,10.2,0
"131","2023-11-20","11:07:32","Ac07","2023-11-20_Ac07",4,0,28,18,5,1,0.279,"0.364",66.68,66.42,64.68,0.582,0.019,30.068,0,114.5,7.9,14.5,0
"132","2023-11-20","11:12:34","Ac05","2023-11-20_Ac05",3,0,28,18,5,1,0.561,"0.757",76.54,71.82,71.82,0.627,0.029,21.315,0,122.1,12.2,10,0
"133","2023-11-20","11:17:51","Ac04","2023-11-20_Ac04",2,1,28,19,5,1,0.379,"0.463",76.19,72.98,70.98,0.629,0.024,26.644,0,121.2,9.6,12.6,0
"134","2023-11-20","11:22:57","Ac02","2023-11-20_Ac02",1,1,28,19,5,1,0.439,"0.573",74.12,70.56,70.56,0.604,0.019,32.09,0,122.7,8.1,15.1,0
"135","2023-11-20","11:28:23","Ac08","2023-11-20_Ac08",4,1,28,20,5,1,0.318,"0.407",73.82,70.14,70.14,0.536,0.022,24.775,0,137.8,12.4,11.1,0
"136","2023-11-20","11:33:09","Ac06","2023-11-20_Ac06",3,1,28,20,5,1,0.411,"0.592",53.06,50.16,50.16,0.567,0.034,16.461,0,93.6,10.9,8.6,0
"137","2023-11-20","11:37:43","Ac11","2023-11-20_Ac11",6,0,24,21,5,1,0.692,"0.896",103.39,94.92,94.92,0.681,0.029,23.463,0,151.8,15,10.1,0
"138","2023-11-20","11:42:08","Ac09","2023-11-20_Ac09",5,0,24,21,5,1,0.372,"0.459",66.42,64.68,64.68,0.529,0.014,38.487,0,125.6,7,17.9,0
"139","2023-11-20","11:46:56","Ac15","2023-11-20_Ac15",8,0,24,22,5,1,0.459,"0.61",69.94,64.68,64.68,0.501,0.024,21.164,0,139.7,14.8,9.5,0
"140","2023-11-20","11:51:56","Ac13","2023-11-20_Ac13",7,0,24,22,5,1,0.412,"0.518",67.05,65.1,65.1,0.529,0.01,54.545,0,126.9,5,25.3,0
"141","2023-11-20","11:56:36","Ac12","2023-11-20_Ac12",6,1,24,23,5,1,0.569,"0.684",70.65,69.3,69.3,0.579,0.023,25.594,0,122.1,10.1,12,0
"142","2023-11-20","12:02:36","Ac10","2023-11-20_Ac10",5,1,24,23,5,1,0.586,"0.695",75.38,72.24,72.24,0.695,0.032,21.907,0,108.5,10,10.8,0
